BacteriaId,Frame,Time (s),X,Y
ZkVXtRuuuDYrF8wjDQcTxa,238,7.908,734,391
ZkVXtRuuuDYrF8wjDQcTxa,239,7.941,736,389
ZkVXtRuuuDYrF8wjDQcTxa,240,7.975,736,388
ZkVXtRuuuDYrF8wjDQcTxa,241,8.008,734,390
ZkVXtRuuuDYrF8wjDQcTxa,242,8.041,735,388
ZkVXtRuuuDYrF8wjDQcTxa,243,8.075,735,388
ZkVXtRuuuDYrF8wjDQcTxa,244,8.108,736,386
ZkVXtRuuuDYrF8wjDQcTxa,245,8.141,736,385
ZkVXtRuuuDYrF8wjDQcTxa,246,8.175,738,385
ZkVXtRuuuDYrF8wjDQcTxa,247,8.208,737,384
ZkVXtRuuuDYrF8wjDQcTxa,248,8.242,737,381
ZkVXtRuuuDYrF8wjDQcTxa,249,8.275,741,378
ZkVXtRuuuDYrF8wjDQcTxa,250,8.308,744,376
ZkVXtRuuuDYrF8wjDQcTxa,251,8.342,743,379
ZkVXtRuuuDYrF8wjDQcTxa,252,8.375,739,378
ZkVXtRuuuDYrF8wjDQcTxa,253,8.408,744,377
ZkVXtRuuuDYrF8wjDQcTxa,254,8.442,743,377
ZkVXtRuuuDYrF8wjDQcTxa,255,8.475,743,380
ZkVXtRuuuDYrF8wjDQcTxa,256,8.509,745,379
ZkVXtRuuuDYrF8wjDQcTxa,257,8.542,743,384
ZkVXtRuuuDYrF8wjDQcTxa,258,8.575,746,379
ZkVXtRuuuDYrF8wjDQcTxa,259,8.609,747,374
ZkVXtRuuuDYrF8wjDQcTxa,260,8.642,746,375
ZkVXtRuuuDYrF8wjDQcTxa,261,8.675,746,375
ZkVXtRuuuDYrF8wjDQcTxa,262,8.709,749,372
ZkVXtRuuuDYrF8wjDQcTxa,263,8.742,746,371
ZkVXtRuuuDYrF8wjDQcTxa,264,8.775,746,374
ZkVXtRuuuDYrF8wjDQcTxa,265,8.809,748,370
ZkVXtRuuuDYrF8wjDQcTxa,266,8.842,751,367
ZkVXtRuuuDYrF8wjDQcTxa,267,8.876,750,371
ZkVXtRuuuDYrF8wjDQcTxa,268,8.909,752,368
ZkVXtRuuuDYrF8wjDQcTxa,269,8.942,752,368
ZkVXtRuuuDYrF8wjDQcTxa,270,8.976,753,370
ZkVXtRuuuDYrF8wjDQcTxa,271,9.009,754,367
ZkVXtRuuuDYrF8wjDQcTxa,272,9.042,754,367
ZkVXtRuuuDYrF8wjDQcTxa,273,9.076,755,367
ZkVXtRuuuDYrF8wjDQcTxa,274,9.109,758,366
ZkVXtRuuuDYrF8wjDQcTxa,275,9.142,761,365
ZkVXtRuuuDYrF8wjDQcTxa,276,9.176,760,368
ZkVXtRuuuDYrF8wjDQcTxa,277,9.209,760,365
ZkVXtRuuuDYrF8wjDQcTxa,278,9.243,764,361
ZkVXtRuuuDYrF8wjDQcTxa,279,9.276,761,364
ZkVXtRuuuDYrF8wjDQcTxa,280,9.309,761,367
ZkVXtRuuuDYrF8wjDQcTxa,281,9.343,766,361
ZkVXtRuuuDYrF8wjDQcTxa,282,9.376,766,361
ZkVXtRuuuDYrF8wjDQcTxa,283,9.409,769,360
ZkVXtRuuuDYrF8wjDQcTxa,284,9.443,762,365
ZkVXtRuuuDYrF8wjDQcTxa,285,9.476,764,362
ZkVXtRuuuDYrF8wjDQcTxa,286,9.509,770,356
ZkVXtRuuuDYrF8wjDQcTxa,287,9.543,768,358
ZkVXtRuuuDYrF8wjDQcTxa,288,9.576,769,357
ZkVXtRuuuDYrF8wjDQcTxa,289,9.610,771,359
ZkVXtRuuuDYrF8wjDQcTxa,290,9.643,768,359
ZkVXtRuuuDYrF8wjDQcTxa,291,9.676,769,358
ZkVXtRuuuDYrF8wjDQcTxa,292,9.710,770,358
ZkVXtRuuuDYrF8wjDQcTxa,293,9.743,767,362
ZkVXtRuuuDYrF8wjDQcTxa,294,9.776,770,358
ZkVXtRuuuDYrF8wjDQcTxa,295,9.810,770,361
ZkVXtRuuuDYrF8wjDQcTxa,296,9.843,770,361
ZkVXtRuuuDYrF8wjDQcTxa,297,9.877,774,357
ZkVXtRuuuDYrF8wjDQcTxa,298,9.910,781,345
