BacteriaId,Frame,Time (s),X,Y
kFwGM4EmvzUUxGPkr55bCk,131,4.338,893,210
kFwGM4EmvzUUxGPkr55bCk,132,4.371,892,209
kFwGM4EmvzUUxGPkr55bCk,133,4.404,893,207
kFwGM4EmvzUUxGPkr55bCk,134,4.438,895,204
kFwGM4EmvzUUxGPkr55bCk,135,4.471,895,204
kFwGM4EmvzUUxGPkr55bCk,136,4.505,898,204
kFwGM4EmvzUUxGPkr55bCk,137,4.538,896,204
kFwGM4EmvzUUxGPkr55bCk,138,4.571,893,200
kFwGM4EmvzUUxGPkr55bCk,139,4.605,897,203
kFwGM4EmvzUUxGPkr55bCk,140,4.638,893,204
kFwGM4EmvzUUxGPkr55bCk,141,4.671,896,205
kFwGM4EmvzUUxGPkr55bCk,142,4.705,899,204
kFwGM4EmvzUUxGPkr55bCk,143,4.738,901,200
kFwGM4EmvzUUxGPkr55bCk,144,4.771,904,199
kFwGM4EmvzUUxGPkr55bCk,145,4.805,905,199
kFwGM4EmvzUUxGPkr55bCk,146,4.838,906,194
kFwGM4EmvzUUxGPkr55bCk,147,4.872,905,194
kFwGM4EmvzUUxGPkr55bCk,148,4.905,906,191
kFwGM4EmvzUUxGPkr55bCk,149,4.938,913,193
kFwGM4EmvzUUxGPkr55bCk,150,4.972,908,193
kFwGM4EmvzUUxGPkr55bCk,151,5.005,902,194
kFwGM4EmvzUUxGPkr55bCk,152,5.038,908,193
kFwGM4EmvzUUxGPkr55bCk,153,5.072,910,195
kFwGM4EmvzUUxGPkr55bCk,154,5.105,911,194
kFwGM4EmvzUUxGPkr55bCk,155,5.138,916,191
kFwGM4EmvzUUxGPkr55bCk,156,5.172,915,190
kFwGM4EmvzUUxGPkr55bCk,157,5.205,920,189
kFwGM4EmvzUUxGPkr55bCk,158,5.239,920,186
kFwGM4EmvzUUxGPkr55bCk,159,5.272,922,186
kFwGM4EmvzUUxGPkr55bCk,160,5.305,918,184
kFwGM4EmvzUUxGPkr55bCk,161,5.339,917,184
kFwGM4EmvzUUxGPkr55bCk,162,5.372,920,185
kFwGM4EmvzUUxGPkr55bCk,163,5.405,916,181
kFwGM4EmvzUUxGPkr55bCk,164,5.439,917,182
kFwGM4EmvzUUxGPkr55bCk,165,5.472,918,178
kFwGM4EmvzUUxGPkr55bCk,166,5.506,920,180
kFwGM4EmvzUUxGPkr55bCk,167,5.539,922,181
kFwGM4EmvzUUxGPkr55bCk,168,5.572,920,180
kFwGM4EmvzUUxGPkr55bCk,169,5.606,921,182
kFwGM4EmvzUUxGPkr55bCk,170,5.639,921,179
kFwGM4EmvzUUxGPkr55bCk,171,5.672,920,177
kFwGM4EmvzUUxGPkr55bCk,172,5.706,923,175
kFwGM4EmvzUUxGPkr55bCk,173,5.739,924,175
kFwGM4EmvzUUxGPkr55bCk,174,5.772,925,176
kFwGM4EmvzUUxGPkr55bCk,175,5.806,928,171
kFwGM4EmvzUUxGPkr55bCk,176,5.839,926,167
kFwGM4EmvzUUxGPkr55bCk,177,5.873,930,165
kFwGM4EmvzUUxGPkr55bCk,178,5.906,934,164
kFwGM4EmvzUUxGPkr55bCk,179,5.939,930,162
kFwGM4EmvzUUxGPkr55bCk,180,5.973,933,160
kFwGM4EmvzUUxGPkr55bCk,181,6.006,939,161
kFwGM4EmvzUUxGPkr55bCk,182,6.039,941,158
kFwGM4EmvzUUxGPkr55bCk,183,6.073,942,158
kFwGM4EmvzUUxGPkr55bCk,184,6.106,947,156
kFwGM4EmvzUUxGPkr55bCk,185,6.139,948,155
kFwGM4EmvzUUxGPkr55bCk,186,6.173,946,154
kFwGM4EmvzUUxGPkr55bCk,187,6.206,952,153
kFwGM4EmvzUUxGPkr55bCk,188,6.240,954,150
kFwGM4EmvzUUxGPkr55bCk,189,6.273,955,148
kFwGM4EmvzUUxGPkr55bCk,190,6.306,955,151
kFwGM4EmvzUUxGPkr55bCk,191,6.340,954,145
kFwGM4EmvzUUxGPkr55bCk,192,6.373,966,153
kFwGM4EmvzUUxGPkr55bCk,193,6.406,966,152
kFwGM4EmvzUUxGPkr55bCk,194,6.440,964,153
kFwGM4EmvzUUxGPkr55bCk,195,6.473,962,146
kFwGM4EmvzUUxGPkr55bCk,196,6.507,959,147
kFwGM4EmvzUUxGPkr55bCk,197,6.540,958,147
kFwGM4EmvzUUxGPkr55bCk,198,6.573,959,144
kFwGM4EmvzUUxGPkr55bCk,199,6.607,962,145
kFwGM4EmvzUUxGPkr55bCk,200,6.640,967,145
kFwGM4EmvzUUxGPkr55bCk,201,6.673,970,146
kFwGM4EmvzUUxGPkr55bCk,202,6.707,971,144
kFwGM4EmvzUUxGPkr55bCk,203,6.740,975,144
kFwGM4EmvzUUxGPkr55bCk,204,6.773,978,143
kFwGM4EmvzUUxGPkr55bCk,205,6.807,978,136
kFwGM4EmvzUUxGPkr55bCk,206,6.840,981,141
kFwGM4EmvzUUxGPkr55bCk,207,6.874,979,140
kFwGM4EmvzUUxGPkr55bCk,208,6.907,978,139
kFwGM4EmvzUUxGPkr55bCk,209,6.940,979,140
kFwGM4EmvzUUxGPkr55bCk,210,6.974,977,138
kFwGM4EmvzUUxGPkr55bCk,211,7.007,980,139
kFwGM4EmvzUUxGPkr55bCk,212,7.040,982,137
kFwGM4EmvzUUxGPkr55bCk,213,7.074,979,136
kFwGM4EmvzUUxGPkr55bCk,214,7.107,979,137
kFwGM4EmvzUUxGPkr55bCk,215,7.140,977,136
kFwGM4EmvzUUxGPkr55bCk,216,7.174,976,136
kFwGM4EmvzUUxGPkr55bCk,217,7.207,978,138
kFwGM4EmvzUUxGPkr55bCk,218,7.241,982,135
kFwGM4EmvzUUxGPkr55bCk,219,7.274,984,133
kFwGM4EmvzUUxGPkr55bCk,220,7.307,986,133
kFwGM4EmvzUUxGPkr55bCk,221,7.341,987,131
kFwGM4EmvzUUxGPkr55bCk,222,7.374,985,129
kFwGM4EmvzUUxGPkr55bCk,223,7.407,987,128
kFwGM4EmvzUUxGPkr55bCk,224,7.441,989,125
kFwGM4EmvzUUxGPkr55bCk,225,7.474,993,128
kFwGM4EmvzUUxGPkr55bCk,226,7.508,996,123
kFwGM4EmvzUUxGPkr55bCk,227,7.541,1000,121
