BacteriaId,Frame,Time,X,Y
NCTRQs4ueconmoYkbHqTtk,161,5.339,569,563
NCTRQs4ueconmoYkbHqTtk,162,5.372,571,564
NCTRQs4ueconmoYkbHqTtk,163,5.405,571,562
NCTRQs4ueconmoYkbHqTtk,164,5.439,575,560
NCTRQs4ueconmoYkbHqTtk,165,5.472,572,561
NCTRQs4ueconmoYkbHqTtk,166,5.506,574,559
NCTRQs4ueconmoYkbHqTtk,167,5.539,575,561
NCTRQs4ueconmoYkbHqTtk,168,5.572,578,559
NCTRQs4ueconmoYkbHqTtk,169,5.606,582,559
NCTRQs4ueconmoYkbHqTtk,170,5.639,580,557
NCTRQs4ueconmoYkbHqTtk,171,5.672,579,556
NCTRQs4ueconmoYkbHqTtk,172,5.706,584,556
NCTRQs4ueconmoYkbHqTtk,173,5.739,585,559
NCTRQs4ueconmoYkbHqTtk,174,5.772,586,556
NCTRQs4ueconmoYkbHqTtk,175,5.806,590,556
NCTRQs4ueconmoYkbHqTtk,176,5.839,591,556
NCTRQs4ueconmoYkbHqTtk,177,5.873,594,558
NCTRQs4ueconmoYkbHqTtk,178,5.906,593,559
NCTRQs4ueconmoYkbHqTtk,179,5.939,596,559
NCTRQs4ueconmoYkbHqTtk,180,5.973,595,558
NCTRQs4ueconmoYkbHqTtk,181,6.006,595,558
NCTRQs4ueconmoYkbHqTtk,182,6.039,601,558
NCTRQs4ueconmoYkbHqTtk,183,6.073,599,556
NCTRQs4ueconmoYkbHqTtk,184,6.106,598,553
NCTRQs4ueconmoYkbHqTtk,185,6.139,600,555
NCTRQs4ueconmoYkbHqTtk,186,6.173,602,556
NCTRQs4ueconmoYkbHqTtk,187,6.206,604,552
NCTRQs4ueconmoYkbHqTtk,188,6.240,605,552
NCTRQs4ueconmoYkbHqTtk,189,6.273,604,554
NCTRQs4ueconmoYkbHqTtk,190,6.306,608,555
NCTRQs4ueconmoYkbHqTtk,191,6.340,608,555
NCTRQs4ueconmoYkbHqTtk,192,6.373,611,550
NCTRQs4ueconmoYkbHqTtk,193,6.406,611,553
NCTRQs4ueconmoYkbHqTtk,194,6.440,610,550
NCTRQs4ueconmoYkbHqTtk,195,6.473,609,547
NCTRQs4ueconmoYkbHqTtk,196,6.507,610,547
NCTRQs4ueconmoYkbHqTtk,197,6.540,612,547
NCTRQs4ueconmoYkbHqTtk,198,6.573,612,547
NCTRQs4ueconmoYkbHqTtk,199,6.607,614,547
NCTRQs4ueconmoYkbHqTtk,200,6.640,614,547
NCTRQs4ueconmoYkbHqTtk,201,6.673,617,547
NCTRQs4ueconmoYkbHqTtk,202,6.707,614,549
NCTRQs4ueconmoYkbHqTtk,203,6.740,617,545
NCTRQs4ueconmoYkbHqTtk,204,6.773,617,542
NCTRQs4ueconmoYkbHqTtk,205,6.807,616,542
NCTRQs4ueconmoYkbHqTtk,206,6.840,618,540
NCTRQs4ueconmoYkbHqTtk,207,6.874,618,543
NCTRQs4ueconmoYkbHqTtk,208,6.907,622,545
NCTRQs4ueconmoYkbHqTtk,209,6.940,622,543
NCTRQs4ueconmoYkbHqTtk,210,6.974,626,542
NCTRQs4ueconmoYkbHqTtk,211,7.007,622,542
NCTRQs4ueconmoYkbHqTtk,212,7.040,625,545
NCTRQs4ueconmoYkbHqTtk,213,7.074,627,544
NCTRQs4ueconmoYkbHqTtk,214,7.107,626,540
NCTRQs4ueconmoYkbHqTtk,215,7.140,629,545
NCTRQs4ueconmoYkbHqTtk,216,7.174,632,542
NCTRQs4ueconmoYkbHqTtk,217,7.207,634,543
NCTRQs4ueconmoYkbHqTtk,218,7.241,636,543
NCTRQs4ueconmoYkbHqTtk,219,7.274,638,543
NCTRQs4ueconmoYkbHqTtk,220,7.307,641,541
NCTRQs4ueconmoYkbHqTtk,221,7.341,642,543
NCTRQs4ueconmoYkbHqTtk,222,7.374,642,543
NCTRQs4ueconmoYkbHqTtk,223,7.407,642,545
NCTRQs4ueconmoYkbHqTtk,224,7.441,641,542
NCTRQs4ueconmoYkbHqTtk,225,7.474,644,545
NCTRQs4ueconmoYkbHqTtk,226,7.508,645,542
NCTRQs4ueconmoYkbHqTtk,227,7.541,646,545
NCTRQs4ueconmoYkbHqTtk,228,7.574,645,543
NCTRQs4ueconmoYkbHqTtk,229,7.608,644,542
NCTRQs4ueconmoYkbHqTtk,230,7.641,644,541
NCTRQs4ueconmoYkbHqTtk,231,7.674,646,539
NCTRQs4ueconmoYkbHqTtk,232,7.708,648,539
NCTRQs4ueconmoYkbHqTtk,233,7.741,645,537
NCTRQs4ueconmoYkbHqTtk,234,7.774,646,537
NCTRQs4ueconmoYkbHqTtk,235,7.808,648,535
NCTRQs4ueconmoYkbHqTtk,236,7.841,649,535
NCTRQs4ueconmoYkbHqTtk,237,7.875,650,531
NCTRQs4ueconmoYkbHqTtk,238,7.908,651,531
NCTRQs4ueconmoYkbHqTtk,239,7.941,652,531
NCTRQs4ueconmoYkbHqTtk,240,7.975,654,529
NCTRQs4ueconmoYkbHqTtk,241,8.008,657,531
NCTRQs4ueconmoYkbHqTtk,242,8.041,656,530
NCTRQs4ueconmoYkbHqTtk,243,8.075,656,531
NCTRQs4ueconmoYkbHqTtk,244,8.108,657,530
NCTRQs4ueconmoYkbHqTtk,245,8.141,658,527
NCTRQs4ueconmoYkbHqTtk,246,8.175,658,527
NCTRQs4ueconmoYkbHqTtk,247,8.208,659,531
NCTRQs4ueconmoYkbHqTtk,248,8.242,657,529
NCTRQs4ueconmoYkbHqTtk,249,8.275,656,529
NCTRQs4ueconmoYkbHqTtk,250,8.308,656,527
NCTRQs4ueconmoYkbHqTtk,251,8.342,657,527
NCTRQs4ueconmoYkbHqTtk,252,8.375,659,527
NCTRQs4ueconmoYkbHqTtk,253,8.408,660,527
NCTRQs4ueconmoYkbHqTtk,254,8.442,658,527
NCTRQs4ueconmoYkbHqTtk,255,8.475,663,523
NCTRQs4ueconmoYkbHqTtk,256,8.509,663,521
